mfcc,chroma_stft,chroma_cqt,chroma_vqt,melspectrogram
-18.756336,0.41116437,0.45151332,0.45067915,0.92567813
-17.489773,0.35788617,0.41945198,0.42525372,0.8637486
-17.674541,0.36943364,0.42376897,0.4242189,0.74916255
-18.459457,0.39064264,0.46119824,0.46809018,0.26950324
-17.829638,0.4137529,0.4603436,0.4651561,0.6077601
-16.961515,0.37788773,0.44488192,0.44790766,1.9787557
-17.860628,0.38835767,0.4529569,0.45605683,0.26340377
-17.404457,0.32703218,0.4063859,0.4064182,0.7018669
-18.522938,0.39075258,0.4131405,0.4166542,0.97428805
-18.730282,0.39717618,0.4937522,0.49575135,0.65226877
-17.769909,0.42077574,0.4610665,0.45982894,0.41498888
-18.162277,0.41631255,0.45933965,0.46076658,0.68383706
-17.492859,0.3837019,0.45857835,0.46015128,1.3295865
-17.164083,0.390841,0.45841014,0.4589974,1.9723319
-17.996296,0.43826327,0.55758965,0.560368,0.21989849
-17.760065,0.37811318,0.44179583,0.44018885,0.9233602
-18.028227,0.40338042,0.45313466,0.4503753,1.5354612
-18.832611,0.35968283,0.4190266,0.42263636,1.7548263
-17.625893,0.40591553,0.4595786,0.4591105,0.70891553
-17.665615,0.37656876,0.45866036,0.46230844,0.55604625
-17.289036,0.41515863,0.501777,0.4994965,0.6922009
-19.023355,0.41671467,0.4687728,0.46709132,0.40734327
-18.566477,0.36028543,0.41250512,0.41457057,1.9507629
-17.006268,0.4190259,0.49143627,0.4908434,0.6793003
-16.987602,0.3755494,0.44063687,0.4391414,1.4463723
-18.67358,0.42667222,0.49845687,0.49311218,0.40267143
-17.02213,0.4048451,0.4625257,0.4639,1.178031
-16.821453,0.38892317,0.47106192,0.47412255,1.0028739
-16.828205,0.37811935,0.43854928,0.44066703,1.0965112
-17.172256,0.3713394,0.44166708,0.44464135,1.3989131
-17.533623,0.37388754,0.4277852,0.42947838,1.0472703
-17.514196,0.4085953,0.47474754,0.4817429,0.7524148
-17.680838,0.4213548,0.48034886,0.47595003,0.22358102
