mfcc,chroma_stft,chroma_cqt,chroma_vqt,melspectrogram
-22.463087,0.35408363,0.49513343,0.49212375,0.20365466
-21.219738,0.3516656,0.46433535,0.46691093,0.28993827
-21.25266,0.3750063,0.49463382,0.49410763,0.52784926
-20.737692,0.394487,0.5196749,0.51765776,0.528543
-20.822289,0.38209668,0.51118606,0.5098854,0.35269797
-21.619991,0.35514918,0.47546124,0.47703257,0.17552531
-22.117846,0.3346037,0.46219245,0.45712435,0.3323307
-21.30338,0.3637289,0.47060338,0.46977225,0.43160877
-21.094805,0.387944,0.49903414,0.5008547,0.4696889
-20.977818,0.3509114,0.44282696,0.4437112,0.31058434
-21.049328,0.3637927,0.49983492,0.49781522,0.28994533
-23.549473,0.35383418,0.47629082,0.47400543,0.09547773
-22.016619,0.34534094,0.47341856,0.47328675,0.30189598
-22.187145,0.31742176,0.43884304,0.4334245,0.52225095
-21.252537,0.3832142,0.49419543,0.4943874,0.4203726
-20.969608,0.35533926,0.4777036,0.47514808,0.38552046
-22.481966,0.34770134,0.42533314,0.43236205,0.39053553
-20.87833,0.3621978,0.48048666,0.47606567,0.27615833
-21.056126,0.35219398,0.48387697,0.4838619,0.14897782
-21.455854,0.41196564,0.55349,0.54858625,0.17561002
-17.06181,0.36948502,0.47991168,0.477139,1.4016373
-23.22438,0.33018145,0.44108835,0.43915275,0.47051746
-22.793108,0.34527397,0.48148203,0.47922432,0.25158578
-21.737652,0.37218058,0.49896625,0.50053453,0.26964825
-21.19309,0.37767193,0.47550273,0.4745107,0.30718115
-23.212349,0.38161013,0.5188299,0.5206118,0.28175324
-20.72803,0.36291134,0.47353056,0.4693675,0.44561094
-22.759794,0.2956071,0.41233024,0.41244125,0.41054195
-20.578907,0.35735536,0.4867024,0.482711,0.602342
-22.376333,0.35889253,0.48774278,0.48710296,0.27718973
-21.113062,0.33699772,0.4503117,0.44141507,0.50397944
-22.73766,0.31312576,0.4493644,0.45597723,0.35038537
-22.57761,0.33009785,0.44415867,0.44695902,0.51532316
-22.914118,0.35035965,0.48902988,0.49098304,0.38850343
-21.914507,0.29485315,0.44621548,0.44388235,0.5853015
-22.523664,0.2896084,0.41453698,0.4131471,0.6100216
-21.709269,0.36995363,0.502762,0.5025533,0.44029704
-21.51716,0.3506613,0.4592001,0.4630843,0.39067578
-21.500877,0.36169854,0.49518743,0.4958987,0.43745658
-21.53625,0.330309,0.44383296,0.44860145,0.32753575
-21.159733,0.3683261,0.49277043,0.49255165,0.24826336
-21.86127,0.3338621,0.45962524,0.46175393,0.25450805
-22.352257,0.37549508,0.48779058,0.48255405,0.27840978
-22.198788,0.34944665,0.4519391,0.4520645,0.27372134
-20.327877,0.35681018,0.46121287,0.46007562,0.47529072
-21.40424,0.3479075,0.47233272,0.47753668,0.32228062
-22.67299,0.37266874,0.49560925,0.4937906,0.3365667
-22.420584,0.37868166,0.5129087,0.51450473,0.31900245
-22.7968,0.4110376,0.540576,0.541313,0.32414037
-21.358646,0.3835893,0.49455073,0.4877467,0.43537804
-21.530912,0.3373352,0.4540029,0.45306513,0.4162222
-23.225168,0.3386102,0.4874891,0.49171802,0.2442898
-22.263206,0.33105204,0.47953427,0.47646213,0.24815726
-22.23556,0.36426666,0.497916,0.49963203,0.45724285
-21.189386,0.3701249,0.5164251,0.5151208,0.28985977
-22.922537,0.33069733,0.4605038,0.45946065,0.17299402
-22.832767,0.32134265,0.4375184,0.43932834,0.35085714
-21.77881,0.34070286,0.45773187,0.45291665,0.28180152
-22.509142,0.3346406,0.46026003,0.4642016,0.29294863
-20.120533,0.40218917,0.5572068,0.55408716,0.30871487
-21.645369,0.35062656,0.4831893,0.48593166,0.36788043
-21.352905,0.35482326,0.47855058,0.48011342,0.22062495
-20.88039,0.36239728,0.4847572,0.48466697,0.48167214
-22.408573,0.33923128,0.44514033,0.44915292,0.25906718
-22.070217,0.40151346,0.5352678,0.53746575,0.3398373
-21.829823,0.34137914,0.4619232,0.45482814,0.40959057
-21.075096,0.37395784,0.48918167,0.48662424,0.24750073
-21.870537,0.34554744,0.47676966,0.477134,0.57204276
-22.986557,0.3489608,0.456633,0.4562728,0.16993392
-21.271786,0.36849618,0.51813334,0.51827097,0.21892199
-22.117802,0.36149538,0.46572077,0.4675257,0.27220118
-22.161697,0.33540067,0.4630359,0.46539584,0.30505157
-21.83093,0.37397882,0.50929195,0.50841135,0.28483114
-21.865347,0.3507527,0.47440353,0.47913837,0.28641674
-20.810768,0.3123316,0.47537383,0.47495732,0.46411026
-22.865356,0.39298415,0.52744144,0.5294488,0.24344486
-22.413858,0.37489843,0.4945128,0.4971348,0.27461672
-21.87436,0.3680391,0.46822572,0.4658177,0.2177699
-21.193195,0.3666989,0.52821183,0.52989477,0.18467668
-20.944532,0.38016364,0.49250364,0.49244702,0.33857203
-20.856304,0.3715279,0.4920738,0.49292335,0.3280068
-22.565311,0.3348525,0.4616685,0.45985767,0.523204
-21.611519,0.3504945,0.48357844,0.4831884,0.31152493
-21.657347,0.3429388,0.4459386,0.448787,0.30045807
-21.464426,0.3483707,0.4724966,0.4736441,0.4256346
-21.964167,0.34470364,0.45633706,0.44980323,0.21597058
-21.373928,0.34298167,0.4691805,0.46748948,0.22219409
-20.847916,0.35252783,0.4904646,0.4912965,0.47555625
