mfcc,chroma_stft,chroma_cqt,chroma_vqt,melspectrogram
-18.131496,0.35683993,0.4807501,0.48132977,0.49344453
-17.902975,0.35706672,0.49725828,0.5014691,0.518121
-18.606577,0.41823384,0.56090236,0.5628244,0.17823103
-18.417828,0.37738785,0.4961996,0.4950857,0.41914946
-19.822857,0.40858877,0.5335888,0.5382783,0.18885037
-17.096287,0.39526638,0.49450573,0.48949954,0.39577097
-18.975758,0.37024474,0.5097658,0.5055668,0.27118438
-18.082373,0.36216402,0.4927599,0.49580705,0.57848966
-17.839342,0.3570342,0.50408834,0.49967608,0.43125558
-18.396248,0.33484638,0.48280752,0.4796053,0.31618673
-17.234331,0.34888348,0.47927845,0.4807749,0.655853
-18.40567,0.327978,0.47711143,0.4821148,0.3237924
-19.177282,0.37405208,0.5311039,0.53242344,0.20206751
-16.990847,0.34438062,0.50660497,0.5073193,0.83082485
-19.018457,0.35601857,0.48807976,0.4867936,0.18220761
-18.61703,0.33615413,0.4583789,0.461061,0.42170948
-19.325157,0.41113922,0.513345,0.5147839,0.17635539
-18.571445,0.37742183,0.5104829,0.5118111,0.28205982
-19.286518,0.37761328,0.527303,0.5293489,0.19816864
-17.954166,0.37472597,0.5152643,0.51467896,0.22943346
-18.53863,0.38046256,0.5321824,0.53102106,0.1519474
-18.9957,0.38151026,0.5071288,0.5074632,0.28684863
-17.220625,0.38940015,0.4841446,0.49138835,0.20468262
-21.878857,0.357343,0.49635056,0.49818113,0.08245085
-18.862457,0.36112103,0.4968457,0.50058585,0.19180351
-19.070736,0.3744116,0.4911065,0.4898204,0.33119777
-18.480846,0.39276147,0.5124399,0.51162404,0.30066836
-18.923595,0.3716148,0.51539916,0.5154974,0.18764928
-18.333588,0.31986132,0.52291834,0.52225465,0.48139
-19.725477,0.35395804,0.49461785,0.49455276,0.2651111
-18.234194,0.39208964,0.56077677,0.5571009,0.30307359
-17.61573,0.3814596,0.53630316,0.538475,0.35851425
-18.947765,0.3692124,0.5044022,0.5054698,0.34292752
-19.525333,0.3947123,0.51215124,0.5130473,0.17720047
-19.645092,0.33733475,0.47071305,0.46725094,0.17627992
-19.263617,0.39590916,0.56125313,0.55609816,0.31842747
-18.485249,0.3650341,0.5045094,0.50626606,0.34325725
-19.759329,0.37390006,0.5074091,0.5030692,0.070393376
-17.906572,0.40545693,0.54026234,0.53864115,0.3373319
-18.732882,0.36308196,0.52860177,0.5323397,0.21585421
-18.591227,0.35962865,0.4900038,0.49066472,0.7855624
-17.569515,0.34925452,0.50842637,0.5073666,1.0201724
-18.350521,0.41467002,0.5340507,0.5361641,0.32867026
-19.830727,0.42708722,0.51425195,0.51729983,0.07183677
-20.376135,0.39696848,0.5144611,0.516627,0.10289548
-18.858158,0.36636785,0.5261688,0.52590185,0.28457934
-17.628897,0.37749517,0.52495253,0.5226352,0.5231044
-19.192516,0.3677449,0.48270527,0.48222396,0.1145042
-18.017723,0.38458118,0.5328941,0.52901495,0.54970753
-18.982191,0.36755884,0.5163616,0.5237201,0.41092816
-19.309086,0.34619036,0.52312857,0.5261906,0.23334458
-17.656967,0.34091675,0.48511696,0.48807666,0.34708542
-18.037346,0.3985736,0.5390059,0.54063714,0.3920811
-19.446705,0.40446177,0.55142933,0.5506538,0.2814678
-19.74514,0.33822706,0.43337765,0.43647087,0.5237825
-19.221527,0.37361884,0.486012,0.48124638,0.20037039
-18.527859,0.39411664,0.5171299,0.51397747,0.34738016
-18.40506,0.34685513,0.489158,0.49024746,0.30281058
-17.739153,0.3512255,0.4945891,0.4969034,0.5614295
-18.561287,0.37073943,0.508295,0.5045691,0.14619349
-19.071499,0.3594044,0.53002733,0.5291799,0.26496777
-18.99545,0.35959277,0.54748183,0.55050296,0.11634072
