mfcc,chroma_stft,chroma_cqt,chroma_vqt,melspectrogram
-19.202625,0.3540431,0.48225042,0.48384038,0.91456604
-19.029598,0.3671747,0.4462993,0.44506207,0.4754408
-19.134794,0.41556668,0.5081835,0.50227994,0.7993505
-18.022617,0.33745396,0.4869832,0.4886454,1.3339076
-18.228031,0.31559142,0.42520094,0.42141315,1.1520259
-17.048405,0.36573446,0.4779956,0.47978947,1.1665711
-19.997875,0.42711213,0.5038877,0.5050923,0.5350925
-19.77914,0.3435565,0.47455347,0.47108364,0.6377417
-20.248547,0.3397523,0.45558104,0.45500103,0.56684434
-20.257107,0.3364248,0.45531547,0.45219886,0.5702392
-17.456188,0.35918638,0.4772679,0.47716686,1.0595083
-20.229588,0.38796285,0.51181793,0.51089686,0.6370518
-18.996578,0.3888601,0.52056855,0.5227099,0.842293
-18.595667,0.33577392,0.44041884,0.4429505,0.8063816
-20.017176,0.35447168,0.46651974,0.47057387,0.61769825
-19.422834,0.3871143,0.5089663,0.5095194,0.6568637
-19.047056,0.40586472,0.51126766,0.5083277,0.8930398
-21.138638,0.3766763,0.45766428,0.45231926,0.41594827
-18.873789,0.35923937,0.4556681,0.45560765,0.44668913
-19.505138,0.3688059,0.46035442,0.46022537,0.897242
-19.490356,0.374279,0.49458754,0.4936274,0.7957036
-18.64026,0.36351272,0.48258826,0.47988036,0.84473217
-18.270973,0.33388698,0.45783707,0.45677784,1.655326
-19.555956,0.36827394,0.48514867,0.4860799,0.44247937
-19.52051,0.34991875,0.4595976,0.45780227,0.8927797
-19.57061,0.35795513,0.47141245,0.46814954,0.8331637
-19.874395,0.3514352,0.47101668,0.4734681,0.74478674
-20.976086,0.3860811,0.5065654,0.50505626,0.3592149
-19.322262,0.34266624,0.4862409,0.4847732,0.75203454
-18.471346,0.34319624,0.46611795,0.4674984,1.165806
-19.986706,0.33635223,0.44518647,0.45133674,1.2673312
-19.720432,0.35826853,0.47771907,0.48561132,0.84615684
-19.06057,0.3584118,0.5065406,0.506622,0.7008276
-18.832232,0.33601987,0.4399338,0.43497267,0.7156843
-18.401136,0.3851893,0.49764243,0.4990773,1.2476449
-18.77948,0.35424677,0.47415483,0.47144294,0.7751968
-18.01041,0.37351608,0.5097448,0.5098264,0.8464204
-17.551561,0.4000751,0.5299151,0.53028744,0.8597893
-19.84119,0.3646812,0.483703,0.48116937,0.872115
-18.608295,0.3344535,0.43413353,0.4356611,1.4884459
-19.817675,0.33014572,0.47514164,0.4736944,1.0492933
-18.119263,0.33654967,0.46285674,0.45909914,1.4099895
-17.824266,0.39080763,0.4863238,0.48821625,0.8115933
-19.501663,0.3314013,0.46497998,0.46506217,0.6743898
-18.230146,0.36059892,0.45411372,0.4548684,0.5818318
-19.046326,0.3322895,0.42041123,0.418815,0.94707125
-19.69177,0.3803148,0.45645466,0.46117523,0.7399355
-17.60801,0.37355962,0.51850885,0.5175857,2.045041
-20.009764,0.33066878,0.4170365,0.4207344,0.377999
-19.163889,0.3366711,0.43832055,0.43791878,0.5541539
-19.01284,0.40216294,0.460623,0.4620115,0.527949
-18.185741,0.35278907,0.45352516,0.45320717,1.0062543
