mfcc,melspectrogram
-18.756336,0.92567813
-17.489773,0.8637486
-17.674541,0.74916255
-18.459457,0.26950324
-17.829638,0.6077601
-16.961515,1.9787557
-17.860628,0.26340377
-17.404457,0.7018669
-18.522938,0.97428805
-18.730282,0.65226877
-17.769909,0.41498888
-18.162277,0.68383706
-17.492859,1.3295865
-17.164083,1.9723319
-17.996296,0.21989849
-17.760065,0.9233602
-18.028227,1.5354612
-18.832611,1.7548263
-17.625893,0.70891553
-17.665615,0.55604625
-17.289036,0.6922009
-19.023355,0.40734327
-18.566477,1.9507629
-17.006268,0.6793003
-16.987602,1.4463723
-18.67358,0.40267143
-17.02213,1.178031
-16.821453,1.0028739
-16.828205,1.0965112
-17.172256,1.3989131
-17.533623,1.0472703
-17.514196,0.7524148
-17.680838,0.22358102
-17.86282,0.44847056
-16.904942,1.1952093
-17.502304,1.7462447
-17.973326,1.0583878
-18.590952,0.53026265
-17.460217,0.6769227
-17.513203,0.74031687
-17.997276,0.72833574
-17.688702,1.5099797
-19.372175,0.90830654
-18.680237,0.7389751
-16.886257,1.4000084
-18.6525,1.533833
-17.534216,0.54481137
-17.464825,0.4958046
-18.064537,0.5670403
-16.840733,1.0596852
-17.353926,0.7912468
-17.863684,0.93848026
-18.91066,0.7195649
-17.443346,1.6538296
-18.922861,0.34130043
-17.230492,0.4851074
-17.34877,1.0324341
-17.292246,1.0808709
-17.429459,1.0730895
-17.497875,1.2615876
-18.882294,1.123687
-17.580967,0.5461818
-18.435278,1.3730389
-17.892944,1.4695516
-18.996515,1.4425454
-18.033274,1.8950584
-18.195158,1.32921
-18.141619,0.64317465
-17.88094,1.3533082
-17.712643,0.9621024
-17.732964,0.65985364
-16.889513,0.69657195
-17.959332,0.5841488
-17.297527,1.6803133
-17.05782,0.953475
-17.445845,1.1080904
-17.973953,0.51927865
-18.641043,0.427602
-16.839058,1.1961701
-17.729763,1.1887301
-17.544079,0.6699879
-18.546322,0.36351544
-17.671436,1.2159283
-17.723385,0.88050574
-18.04817,2.0323906
-17.68803,0.8265624
-18.986475,1.460088
-17.072767,0.7063497
-17.719227,0.35234123
-17.35402,0.49743074
-16.869518,1.2095015
-17.407269,0.8176913
-17.954441,1.0203629
-17.141531,1.0825889
-17.923302,0.27865928
-16.638021,0.68326443
-19.050224,1.5149169
-16.961151,1.0024843
-18.911098,1.4367595
-17.66429,1.0237352
-17.721954,0.53290534
-17.330177,1.2108116
-17.155663,1.8135192
-17.269539,1.3914024
-17.794712,0.8139426
-17.665354,0.84713423
-18.926647,0.46545535
-17.895292,0.71676856
-18.665884,0.84692454
-18.784534,1.2805266
-17.612337,1.123977
-18.076916,1.0482552
-16.848518,1.0891565
-17.98271,0.6033552
-17.880125,1.2796571
-18.98772,1.1776274
-18.16155,1.3193281
-17.252129,1.1763448
-17.8699,1.2888584
-17.215616,0.8621526
-18.028404,0.64581007
-19.045618,1.7227463
-18.425272,2.842508
-16.802567,0.72282064
-17.774221,0.50268686
-19.103533,0.42084914
-17.8774,1.8459573
-18.03223,1.0253863
-17.378672,0.8766898
-17.020933,1.1943519
-18.908985,1.0917997
-17.571964,1.289981
-18.026188,0.8086538
-17.685566,2.2654386
-18.051846,1.0263321
-17.196133,0.61647224
-17.976343,1.250921
-18.587112,1.9602091
-16.825886,1.2407104
-18.728994,0.85660005
-16.568636,1.1106391
-18.556,0.77599514
-16.578821,1.7028735
-16.727636,1.0401295
-17.66497,0.37296218
-17.683239,1.4296186
-19.197788,1.0247715
-17.80788,0.21867523
-17.540354,0.5687341
-19.7345,0.31710863
-18.188356,1.7817442
-17.51527,1.2774596
-18.049381,0.635658
-16.2789,1.1635542
-17.741917,0.66325015
-17.72093,1.0530583
-17.666134,0.6330867
-18.358145,0.80808556
-18.142746,0.5389923
-17.919521,0.5028986
-17.149223,1.115
-18.268787,0.39943558
-16.97076,0.9827095
-19.113123,1.9356499
-17.24445,1.2203057
-20.832754,0.19205923
-18.327229,1.1342435
-17.735554,0.7021533
-18.76226,0.33599615
-17.241581,0.73158085
-18.260199,0.96106243
-18.813005,0.826826
-16.836946,1.3729905
-17.31802,1.1916116
-17.29751,1.0592847
-17.229918,0.97256505
-17.024296,0.6953289
-18.509504,0.2174783
-18.07682,0.7463864
-17.546522,0.6300067
-17.462822,0.37463754
-17.276714,0.5004853
-18.896395,0.55760115
-18.534786,0.72860134
-19.290474,0.46330303
-17.47734,0.602221
-18.358614,1.066333
-18.675026,0.90596336
-18.348225,1.9583089
-17.957952,0.73545265
-17.99068,0.28526598
-18.435558,0.96549356
-17.544489,0.87749124
